date,entry,exit,total,weekend,event
2023-03-01,1665681,1670546,3336227,False,True
2023-03-02,1629113,1633810,3262923,False,False
2023-03-03,1916298,1920692,3836990,False,False
2023-03-04,1966149,1970572,3936721,True,False
2023-03-05,1646549,1651287,3297836,True,True
2023-03-06,1640286,1647658,3287944,False,False
2023-03-07,1620119,1626438,3246557,False,False
2023-03-08,1762950,1769108,3532058,False,False
2023-03-09,1617292,1622283,3239575,False,True
2023-03-10,1911242,1916089,3827331,False,False
2023-03-11,1795487,1800277,3595764,True,False
2023-03-12,1584552,1589310,3173862,True,False
2023-03-13,1648922,1655550,3304472,False,False
2023-03-14,1666462,1671802,3338264,False,True
2023-03-15,1774326,1779819,3554145,False,True
2023-03-16,1676796,1682853,3359649,False,True
2023-03-17,1828978,1832735,3661713,False,False
2023-03-18,2093074,2097855,4190929,True,True
2023-03-19,1819574,1824824,3644398,True,True
2023-03-25,1939501,1943952,3883453,True,True
2023-03-26,1760722,1764788,3525510,True,True
2023-03-27,1729852,1737178,3467030,False,False
2023-03-28,1725354,1732346,3457700,False,False
2023-03-29,1727688,1733342,3461030,False,False
2023-03-30,1678700,1683822,3362522,False,False
2023-03-31,2024518,2031394,4055912,False,True
2023-05-01,2178047,2184700,4362747,False,True
2023-05-02,1784614,1789333,3573947,False,True
2023-05-03,1299074,1303721,2602795,False,True
2023-05-04,1567927,1577878,3145805,False,False
2023-05-05,1578839,1584882,3163721,False,False
2023-05-06,1684044,1690218,3374262,True,True
2023-05-07,1294371,1299476,2593847,True,False
2023-05-08,1625958,1635718,3261676,False,False
2023-05-09,1623947,1631417,3255364,False,False
2023-05-10,1618582,1625753,3244335,False,False
2023-05-11,1611530,1617961,3229491,False,True
2023-05-12,1819450,1827559,3647009,False,False
2023-05-13,1689678,1697115,3386793,True,True
2023-05-14,1464065,1470048,2934113,True,True
2023-05-15,1593253,1602871,3196124,False,False
2023-05-16,1558820,1567543,3126363,False,False
2023-05-17,1502436,1508961,3011397,False,False
2023-05-18,1596861,1604055,3200916,False,False
2023-05-19,1833262,1840547,3673809,False,False
2023-05-20,1812409,1821234,3633643,True,True
2023-05-21,1430455,1436389,2866844,True,True
2023-05-22,1557720,1565567,3123287,False,False
2023-05-23,1575336,1583145,3158481,False,False
2023-05-24,1556867,1564418,3121285,False,False
2023-05-25,1605629,1613077,3218706,False,False
2023-05-26,1725797,1732330,3458127,False,False
2023-05-27,1439736,1445371,2885107,True,True
2023-05-28,1212981,1219689,2432670,True,True
2023-05-29,1503808,1512485,3016293,False,False
2023-05-30,1517248,1524314,3041562,False,False
2023-05-31,1561614,1569279,3130893,False,False
