hour,weekday_Commuter,weekday_Casual,weekday_Tourist/Visitor,weekday_Concession/Student,weekend_Commuter,weekend_Casual,weekend_Tourist/Visitor,weekend_Concession/Student
6.0,34.19893,30.71939,10.518403,24.563284,31.548187,31.58983,11.255456,25.606525
6.1666665,34.70292,31.623623,10.376967,23.296497,31.900028,32.521706,11.318465,24.259796
6.3333335,35.64437,32.472282,9.807446,22.075893,32.50455,32.780266,11.039694,23.675486
6.5,36.476784,33.339657,9.533427,20.650131,33.12497,33.492886,10.73987,22.642275
6.6666665,38.14544,33.354816,9.005323,19.49442,34.060833,33.95362,10.378236,21.607317
6.8333335,39.986767,33.120884,8.567506,18.324848,34.754543,34.298306,10.302841,20.644312
7.0,41.428574,32.720135,8.28049,17.570805,35.38323,34.46728,10.032174,20.117317
7.1666665,42.29679,32.859287,8.08634,16.757582,35.395893,35.090836,10.225237,19.288034
7.3333335,43.19176,32.837597,7.987837,15.982808,35.34652,35.983612,10.3548155,18.31505
7.5,43.939037,33.045303,7.784878,15.230788,35.75405,36.253025,10.247314,17.745607
7.6666665,44.391315,33.282177,7.705604,14.620909,35.268055,37.32219,10.2918,17.117962
7.8333335,44.646324,33.419617,7.58821,14.345841,35.191174,37.374424,10.420005,17.014404
8.0,44.492676,33.8761,7.587462,14.043763,34.8215,38.084915,10.406978,16.686607
8.166667,44.185215,34.53362,7.5923004,13.688874,34.587154,38.851498,10.452817,16.10853
8.333333,43.369152,34.9852,7.793812,13.851833,33.8436,39.31529,10.8620405,15.979067
8.5,42.272396,35.667564,8.078659,13.981381,33.300503,39.896763,10.981044,15.821693
8.666667,41.695004,36.155315,8.198194,13.951481,32.825237,40.369843,11.204995,15.599927
8.833333,39.701336,36.592422,9.031367,14.6748705,31.01686,41.151707,12.156736,15.674697
9.0,36.88211,36.822998,10.083199,16.211693,29.540646,41.47139,13.104823,15.883139
9.166667,34.991962,37.31644,10.656985,17.034615,29.198683,42.05977,12.904121,15.837423
9.333333,33.208145,37.799843,11.280183,17.711828,28.40033,42.34496,13.274463,15.980249
9.5,31.565708,38.043674,11.912483,18.478138,27.851894,42.79061,13.393638,15.963852
9.666667,30.537123,38.751213,12.268091,18.44357,27.49848,43.37528,13.4397135,15.686525
9.833333,29.887947,38.69372,12.72769,18.690643,27.043661,43.551228,13.861529,15.54358
10.0,29.018536,38.946648,13.027186,19.007643,26.865086,43.815536,13.734802,15.584572
10.166667,28.574228,39.2307,13.337594,18.857473,26.698156,44.19005,13.759382,15.35241
10.333333,28.204802,39.50677,13.448271,18.840153,26.51641,44.431404,13.819525,15.232666
10.5,27.81025,39.92498,13.680868,18.5839,26.59057,44.71177,13.699492,14.998168
10.666667,27.549978,40.371563,13.911449,18.167004,26.279629,45.18398,13.894709,14.641685
10.833333,27.301062,40.447865,14.100914,18.15017,26.145426,45.32817,14.060332,14.466069
11.0,27.173841,40.70064,14.06517,18.060354,26.168896,45.668312,13.835089,14.327701
11.166667,26.988792,41.265762,14.252395,17.493053,26.044178,46.128254,13.966876,13.860689
11.333333,27.133295,41.19912,14.28425,17.38334,26.085953,46.13543,13.990608,13.788012
11.5,27.481297,41.513237,13.977859,17.027609,26.249058,46.380215,13.715517,13.655208
11.666667,27.586573,41.935696,13.836227,16.64151,26.099709,46.86699,13.658528,13.374777
11.833333,27.251047,42.159195,14.140137,16.449615,25.738213,46.999077,14.005254,13.257459
12.0,27.277285,42.34872,14.030377,16.343618,25.699238,47.20743,13.903596,13.189729
12.166667,27.28132,42.803642,13.935544,15.979489,25.8023,47.38109,13.818042,12.998572
12.333333,27.215683,42.59485,14.116929,16.072529,25.811832,47.280773,13.783728,13.123666
12.5,27.489552,42.573914,13.849728,16.086805,25.894293,47.34496,13.615259,13.145487
12.666667,27.495184,42.819656,13.676436,16.008728,25.963604,47.241474,13.610143,13.184777
12.833333,27.440783,42.58582,13.667833,16.30556,25.873983,47.245636,13.600624,13.279748
13.0,27.534666,42.531715,13.608834,16.324776,25.971434,47.112587,13.485256,13.43072
13.166667,27.64712,42.69254,13.331361,16.32898,25.972885,47.178467,13.45648,13.392168
13.333333,27.54384,42.717335,13.325972,16.412859,25.8914,47.183895,13.464517,13.460189
13.5,27.483427,42.70702,13.382043,16.427505,25.905472,47.208126,13.416788,13.469617
13.666667,27.588892,42.739014,13.293463,16.378637,25.949043,47.08965,13.410997,13.550311
13.833333,27.393421,42.7316,13.300146,16.574825,25.755167,47.23528,13.437273,13.57228
14.0,27.16535,42.825638,13.385107,16.623913,25.567705,47.260777,13.574481,13.597041
14.166667,27.16431,42.75185,13.440437,16.643404,25.701942,47.119976,13.58411,13.593971
14.333333,27.045223,42.672894,13.580034,16.701849,25.613705,47.169685,13.598201,13.618401
14.5,27.259722,42.440746,13.351284,16.94824,25.755417,47.027428,13.519361,13.697796
14.666667,27.373514,42.421024,13.206284,16.999174,25.839514,47.040527,13.405158,13.714804
14.833333,27.00188,42.518597,13.450174,17.029339,25.538662,47.23728,13.561429,13.662627
15.0,27.222637,42.305912,13.266916,17.204529,25.710615,47.099285,13.47325,13.716849
15.166667,27.469639,42.230625,13.171389,17.128347,25.816763,47.081684,13.429028,13.6725235
15.333333,27.503899,42.347942,13.081444,17.066711,25.740364,47.20382,13.391983,13.663828
15.5,27.806372,42.437473,12.889135,16.867023,25.878572,47.214897,13.331005,13.575532
15.666667,28.02445,42.457287,12.713887,16.804382,26.112303,47.029747,13.253858,13.60409
