hour,entry,exit
6.0,1,1
6.1666665,7,1
6.3333335,12,1
6.5,7,7
6.6666665,17,3
6.8333335,29,4
7.0,58,3
7.1666665,48,6
7.3333335,60,12
7.5,67,23
7.6666665,114,22
7.8333335,113,49
8.0,83,77
8.166667,74,106
8.333333,66,170
8.5,68,117
8.666667,44,41
8.833333,25,50
9.0,28,30
9.166667,21,18
9.333333,25,11
9.5,13,7
9.666667,6,11
9.833333,9,4
10.0,14,5
10.166667,8,6
10.333333,25,16
10.5,20,12
10.666667,31,14
10.833333,20,19
11.0,26,16
11.166667,22,20
11.333333,19,7
11.5,17,15
11.666667,22,13
11.833333,28,11
12.0,13,9
12.166667,9,11
12.333333,21,12
12.5,18,14
12.666667,8,15
12.833333,7,9
13.0,9,15
13.166667,9,16
13.333333,6,8
13.5,9,7
13.666667,4,18
13.833333,8,22
14.0,11,15
14.166667,7,5
14.333333,12,10
14.5,14,12
14.666667,9,14
14.833333,9,7
15.0,11,6
15.166667,6,11
15.333333,11,14
15.5,8,13
15.666667,14,14
15.833333,12,19
16.0,19,4
16.166666,24,9
16.333334,21,10
16.5,10,15
16.666666,20,20
16.833334,72,21
17.0,221,13
17.166666,80,13
17.333334,55,26
17.5,26,21
17.666666,23,28
17.833334,14,34
18.0,19,24
18.166666,10,46
18.333334,9,60
18.5,1,41
18.666666,4,56
18.833334,7,73
19.0,7,38
19.166666,8,41
19.333334,3,38
19.5,3,22
19.666666,1,23
19.833334,13,21
20.0,3,14
20.166666,1,6
20.333334,2,21
20.5,3,14
20.666666,4,20
20.833334,4,9
21.0,0,17
21.166666,1,14
21.333334,0,9
21.5,2,9
21.666666,0,7
21.833334,1,6
22.0,2,5
22.166666,1,11
22.333334,0,4
22.5,0,9
22.666666,0,4
22.833334,0,6
23.0,0,6
23.166666,0,6
23.333334,1,2
23.5,0,1
23.666666,0,0
23.833334,0,0
