minutes_ahead,RMSE,model
10,29.580408123688617,CRISP-Net
20,30.523142312504234,CRISP-Net
30,30.01077170390996,CRISP-Net
40,31.488369572624578,CRISP-Net
50,31.53281207548223,CRISP-Net
60,32.161201429664104,CRISP-Net
10,29.342806752802723,TDAG-Net
20,30.789833681203223,TDAG-Net
30,30.89578138966195,TDAG-Net
40,33.32095781926258,TDAG-Net
50,34.558357988431176,TDAG-Net
60,35.12341252050672,TDAG-Net
10,29.920630928332738,AGCRN
20,29.900338915246163,AGCRN
30,29.476020411264482,AGCRN
40,31.346509976729813,AGCRN
50,31.953020466717945,AGCRN
60,32.238923702297384,AGCRN
10,31.84604048398487,Graph WaveNet
20,34.34235358692923,Graph WaveNet
30,34.67253224356147,Graph WaveNet
40,38.030767421356444,Graph WaveNet
50,40.2702749149453,Graph WaveNet
60,40.437377655506054,Graph WaveNet
10,30.58310705825579,TGALSTM
20,32.39663512618608,TGALSTM
30,32.77115257892823,TGALSTM
40,36.30710652753031,TGALSTM
50,38.78537108778992,TGALSTM
60,40.143416855550406,TGALSTM
