t,observed,predicted
2023-05-27 08:00:00,159.0,208.43683
2023-05-27 08:10:00,171.0,208.49054
2023-05-27 08:20:00,185.0,203.53906
2023-05-27 08:30:00,184.0,202.88055
2023-05-27 08:40:00,183.0,199.79053
2023-05-27 08:50:00,228.0,177.44061
2023-05-27 09:00:00,238.0,203.16876
2023-05-27 09:10:00,272.0,235.99225
2023-05-27 09:20:00,337.0,277.2249
2023-05-27 09:30:00,278.0,331.01233
2023-05-27 09:40:00,289.0,333.73926
2023-05-27 09:50:00,289.0,343.7849
2023-05-27 10:00:00,298.0,353.90833
2023-05-27 10:10:00,315.0,377.69104
2023-05-27 10:20:00,376.0,387.03412
2023-05-27 10:30:00,338.0,414.55255
2023-05-27 10:40:00,371.0,421.26105
2023-05-27 10:50:00,413.0,444.20856
2023-05-27 11:00:00,399.0,470.60468
2023-05-27 11:10:00,422.0,462.20163
2023-05-27 11:20:00,530.0,490.69916
2023-05-27 11:30:00,450.0,579.0596
2023-05-27 11:40:00,521.0,585.89343
2023-05-27 11:50:00,578.0,636.3369
2023-05-27 12:00:00,645.0,689.04675
2023-05-27 12:10:00,700.0,759.7797
2023-05-27 12:20:00,747.0,846.6909
2023-05-27 12:30:00,886.0,914.366
2023-05-27 12:40:00,997.0,1030.4441
2023-05-27 12:50:00,994.0,1133.7428
2023-05-27 13:00:00,1019.0,1155.6798
2023-05-27 13:10:00,1156.0,1171.506
2023-05-27 13:20:00,1112.0,1239.3416
2023-05-27 13:30:00,1148.0,1243.9768
2023-05-27 13:40:00,1149.0,1254.4752
2023-05-27 13:50:00,1201.0,1259.2218
2023-05-27 14:00:00,1277.0,1297.008
2023-05-27 14:10:00,1365.0,1313.0015
2023-05-27 14:20:00,1331.0,1354.5969
2023-05-27 14:30:00,1196.0,1364.6107
2023-05-27 14:40:00,1255.0,1332.5366
2023-05-27 14:50:00,1228.0,1328.026
2023-05-27 15:00:00,1340.0,1329.5643
2023-05-27 15:10:00,1418.0,1364.2185
2023-05-27 15:20:00,1451.0,1410.28
2023-05-27 15:30:00,1375.0,1450.6742
2023-05-27 15:40:00,1346.0,1444.7131
2023-05-27 15:50:00,1364.0,1426.3811
2023-05-27 16:00:00,1435.0,1404.5397
2023-05-27 16:10:00,1387.0,1425.521
2023-05-27 16:20:00,1495.0,1414.0486
2023-05-27 16:30:00,1377.0,1426.7241
2023-05-27 16:40:00,1530.0,1410.0942
2023-05-27 16:50:00,1347.0,1442.7633
2023-05-27 17:00:00,1548.0,1413.9391
2023-05-27 17:10:00,1656.0,1448.4583
2023-05-27 17:20:00,1573.0,1520.1943
2023-05-27 17:30:00,1493.0,1550.6761
2023-05-27 17:40:00,1705.0,1557.9001
2023-05-27 17:50:00,1769.0,1606.9177
2023-05-27 18:00:00,1836.0,1636.5635
2023-05-27 18:10:00,2304.0,1687.1844
2023-05-27 18:20:00,1850.0,1869.4797
2023-05-27 18:30:00,1775.0,1792.937
2023-05-27 18:40:00,1723.0,1747.0049
2023-05-27 18:50:00,1618.0,1712.3622
2023-05-27 19:00:00,1817.0,1656.4403
2023-05-27 19:10:00,1659.0,1684.0947
2023-05-27 19:20:00,1747.0,1674.3457
2023-05-27 19:30:00,1800.0,1701.3512
2023-05-27 19:40:00,1841.0,1743.1653
2023-05-27 19:50:00,1754.0,1797.059
2023-05-27 20:00:00,1870.0,1820.1167
2023-05-27 20:10:00,1837.0,1885.9246
2023-05-27 20:20:00,1795.0,1946.3057
2023-05-27 20:30:00,1883.0,1970.8398
2023-05-27 20:40:00,1994.0,2029.2625
2023-05-27 20:50:00,1971.0,2083.5845
2023-05-27 21:00:00,1983.0,2067.1758
2023-05-27 21:10:00,2176.0,2049.7476
2023-05-27 21:20:00,1948.0,2105.5654
2023-05-27 21:30:00,1644.0,1991.6366
2023-05-27 21:40:00,1710.0,1753.2571
2023-05-27 21:50:00,1560.0,1627.1238
2023-05-27 22:00:00,2030.0,1478.138
2023-05-27 22:10:00,1541.0,1593.4663
2023-05-27 22:20:00,1051.0,1433.8677
2023-05-27 22:30:00,1087.0,1066.1411
2023-05-27 22:40:00,911.0,871.5291
2023-05-27 22:50:00,433.0,696.03754
2023-05-27 23:00:00,340.0,430.66333
