method,bin,n_windows,PICP,MPIW,Winkler,|PICP − 90|
raw quantile heads,normal · off-peak,469,89.46683932618136,49.43049328572684,66.64184109192351,0.5331606738186423
raw quantile heads,normal · peak,168,90.65824191805866,96.85411111601887,119.43633027510008,0.658241918058664
raw quantile heads,event · off-peak,134,89.68638482977781,55.28793518577108,74.05156303221402,0.3136151702221923
raw quantile heads,event · peak,48,88.85071262361838,69.13839263889065,92.40577401074721,1.149287376381622
pooled conformal,normal · off-peak,469,89.88565028261833,49.61977856404715,66.63587893988006,0.11434971738167121
pooled conformal,normal · peak,168,90.91041303083188,97.04339639433918,119.45122597617559,0.9104130308318759
pooled conformal,event · off-peak,134,90.09142767836211,55.477220464091396,74.04965327018627,0.09142767836210908
pooled conformal,event · peak,48,89.15339586969168,69.32767791721096,92.38693539361354,0.8466041303083216
Mondrian ECQ,normal · off-peak,469,90.0154240019052,49.72703593022757,66.63583364561157,0.015424001905202545
Mondrian ECQ,normal · peak,168,89.9837945649464,96.51899377593098,119.4245253987702,0.01620543505360672
Mondrian ECQ,event · off-peak,134,90.38511630330025,55.694559026103114,74.05702201070301,0.3851163033002507
Mondrian ECQ,event · peak,48,88.96433246073299,69.25963563892117,92.39964566853831,1.0356675392670098
