station_id,rmse,mean_flow
0,0.3056306,0.01007326
1,9.13148,17.127697
2,61.61039,172.55046
3,76.64985,153.24786
4,14.180851,37.34768
5,28.069696,95.72304
6,23.273325,114.150894
7,40.78046,228.01953
8,34.26766,156.82683
9,159.37788,869.09564
10,64.338524,266.1334
11,56.744278,305.10153
12,39.735447,197.90395
13,31.212776,137.38625
14,146.81142,347.00876
15,25.89881,86.71408
16,38.846287,193.18224
17,42.118587,213.14154
18,26.782576,80.14774
19,35.750813,111.15466
20,33.632484,85.73779
21,45.65631,200.81909
22,33.214687,139.64326
23,17.167732,75.66138
24,33.9421,164.79213
25,57.272602,248.99248
26,71.78841,343.0807
27,31.219332,122.98158
28,50.81064,139.54588
29,28.014956,108.07865
30,31.505207,150.83333
31,23.134949,95.218254
32,15.943316,61.496338
33,35.382,187.57469
34,18.838606,55.6802
35,15.069928,59.553722
36,23.25407,111.61152
37,17.20013,72.139496
38,18.102833,61.788258
39,24.278675,72.774925
40,25.71394,112.47802
41,69.94648,242.99623
42,50.379288,105.94658
43,21.935123,55.220695
44,165.21304,796.1684
45,24.13613,117.97161
46,21.500223,99.48026
47,22.48863,85.782455
48,40.764786,149.82234
49,20.67659,49.78378
50,26.457245,88.107346
51,15.714115,56.26506
52,36.961838,135.6745
53,34.698013,91.01241
54,34.422054,115.99257
55,36.007507,114.33456
56,7.0095353,17.429182
57,8.706907,16.807692
58,12.255243,35.00997
59,37.914326,45.292736
60,14.0366,35.46225
61,21.375082,68.51211
62,17.326218,62.50926
63,11.431005,35.77513
64,16.867802,47.250916
65,35.994076,109.006516
66,9.712166,23.41738
67,14.5336895,38.88604
68,17.185022,26.817461
69,11.139355,19.347172
70,16.464363,48.481075
71,18.772163,65.05037
72,8.244022,24.060642
73,12.576309,50.889194
74,10.556206,29.615181
75,20.2136,65.90222
76,9.266317,28.501629
77,13.138202,42.643265
78,16.67711,48.38706
79,5.568408,5.108262
80,8.826448,12.353073
81,5.201121,8.807693
82,16.472334,52.678165
83,14.942267,54.227615
84,8.785065,25.675112
85,7.90695,17.759768
86,3.2084186,4.0633903
87,10.092717,16.558914
88,9.348462,15.045991
89,16.292892,49.121796
90,33.480408,105.90852
91,15.876009,64.98952
92,34.95506,147.27696
93,46.620132,243.34625
94,12.8666315,43.602158
95,17.658398,75.60175
96,23.818344,92.1916
97,33.418125,147.82285
98,52.304756,128.46184
99,30.99331,131.88492
100,37.882153,144.3663
101,43.537415,213.3146
102,25.39036,132.8893
103,13.254202,33.499695
104,17.508568,50.4535
105,17.128702,58.841576
106,13.135442,47.318375
107,8.991754,21.833841
108,15.833895,65.57041
109,16.029377,43.34005
110,16.035425,43.574276
111,19.007206,48.984737
112,16.220558,51.95635
113,31.563288,87.15456
114,35.506718,154.4826
115,19.515623,80.627495
116,23.201931,81.42328
117,8.585338,23.629427
118,19.166527,46.87149
119,15.077052,52.89398
120,7.9986777,20.5523
121,8.833062,32.956654
122,32.05727,55.391228
123,14.47699,12.668193
124,15.676369,15.668498
125,4.2300987,9.17847
126,4.133365,3.9717135
127,4.994814,8.371897
128,12.023801,46.82387
129,9.643666,21.2907
130,12.27779,35.10002
131,18.106829,55.33415
132,15.33847,42.63085
133,10.775086,24.835064
134,6.026565,12.556268
135,7.759897,18.101343
136,4.2597485,8.3289585
137,3.5701175,6.1020555
138,11.012975,32.32865
139,1.0658721,0.6243386
140,7.5092916,10.997252
141,5.6104174,7.8408628
142,0.4881145,0.18274318
143,0.66463405,0.30779406
144,4.934442,5.39652
145,11.52962,16.391636
146,22.30284,46.989315
147,4.2476068,5.8232603
148,3.164389,4.3771877
149,10.800848,22.636244
150,16.145279,31.860704
151,1.4200734,1.1419414
152,4.800962,7.0617623
153,7.328992,9.602768
154,8.711439,12.12383
155,6.6372848,9.156186
156,5.0398936,7.1723647
157,4.0255923,5.6658525
158,5.6310954,8.292023
159,5.511458,8.894892
160,12.585668,11.09768
161,3.109594,5.163309
162,7.4520054,22.070717
163,11.181537,26.140924
164,6.8167787,6.3834963
165,12.429195,30.979242
166,8.571215,18.4768
167,2.5598466,3.6908832
168,3.1862001,5.3084044
169,5.8431835,13.006919
170,5.255825,11.47151
171,12.913335,32.117928
172,2.8943775,4.701465
173,6.022941,11.924909
174,9.4466305,21.353989
175,6.396406,12.555759
176,9.231339,28.782866
177,13.1921625,42.5117
178,6.925937,18.24878
179,4.802249,9.450041
180,14.859768,55.625763
181,10.476664,37.260685
182,10.936784,34.650185
183,7.115389,17.770147
184,8.278406,25.031136
185,8.87366,28.682539
186,7.623406,21.065323
187,13.643591,56.574276
188,8.002081,24.866096
189,5.790416,16.219984
190,6.662842,12.009462
