event,peak,n_windows,PICP,MPIW,Winkler,model,bin
False,False,469,90.0154240019052,49.72703593022757,66.63583364561157,CRISP-Net,normal · off-peak
False,True,168,89.9837945649464,96.51899377593098,119.4245253987702,CRISP-Net,normal · peak
True,False,134,90.38511630330025,55.694559026103114,74.05702201070301,CRISP-Net,event · off-peak
True,True,48,88.96433246073299,69.25963563892117,92.39964566853831,CRISP-Net,event · peak
False,False,469,90.04993729929261,50.67715790996893,66.56061958805337,CRISP-Net w/o gates,normal · off-peak
False,True,168,90.01392005318706,100.21006334325905,118.90737680287745,CRISP-Net w/o gates,normal · peak
True,False,134,90.57884660467298,56.100272271088755,74.0322452676179,CRISP-Net w/o gates,event · off-peak
True,True,48,89.18793630017451,70.23361677089713,92.7499184572921,CRISP-Net w/o gates,event · peak
False,False,469,90.00174892180831,52.402123386461774,67.41807375147252,CRISP-Net w/o PRI,normal · off-peak
False,True,168,90.2834912324441,106.5168685071099,128.18300546455697,CRISP-Net w/o PRI,normal · peak
True,False,134,89.81043734208538,57.84494370401079,75.96088970442014,CRISP-Net w/o PRI,event · off-peak
True,True,48,88.56257271669575,71.98596849833059,96.36552209561451,CRISP-Net w/o PRI,event · peak
False,False,469,91.19027152941351,49.49040453219656,92.56861128097124,MC-Dropout,normal · off-peak
False,True,168,90.21207304911493,79.91129443634206,155.93294760432536,MC-Dropout,normal · peak
True,False,134,91.5243807142299,58.1770721967705,110.00371511899831,MC-Dropout,event · off-peak
True,True,48,90.0032722513089,67.35350041726849,135.32011742145264,MC-Dropout,event · peak
False,False,469,91.02765901234292,48.67058044805646,91.33997549262814,Deep Ensemble,normal · off-peak
False,True,168,87.79735934513423,67.83469867579475,159.86261126116185,Deep Ensemble,normal · peak
True,False,134,91.5061472741007,56.52880573833068,105.7612564333649,Deep Ensemble,event · off-peak
True,True,48,89.12885398487492,59.93563377691426,125.34970271106054,Deep Ensemble,event · peak
