figure_id,title,group,png,data,generated_at
F01,Ingestion audit and data retention across source files,01_corpus,/content/drive/MyDrive/CALM_Net/figures/01_corpus/F01_fig_ingestion_audit.png,/content/drive/MyDrive/CALM_Net/figures/01_corpus/F01_fig_ingestion_audit_data.csv,2026-08-15T08:50:09
F02,Longitudinal network ridership by direction with flagged event days,01_corpus,/content/drive/MyDrive/CALM_Net/figures/01_corpus/F02_fig_daily_ridership.png,/content/drive/MyDrive/CALM_Net/figures/01_corpus/F02_fig_daily_ridership_data.csv,2026-08-15T08:50:11
F03,Service-hour completeness and data availability,01_corpus,/content/drive/MyDrive/CALM_Net/figures/01_corpus/F03_fig_coverage_calendar.png,/content/drive/MyDrive/CALM_Net/figures/01_corpus/F03_fig_coverage_calendar_data.csv,2026-08-15T08:50:14
F04,Ticket-code volume distribution and cumulative coverage,01_corpus,/content/drive/MyDrive/CALM_Net/figures/01_corpus/F04_fig_card_pareto.png,/content/drive/MyDrive/CALM_Net/figures/01_corpus/F04_fig_card_pareto_data.csv,2026-08-15T08:50:16
F05,Diurnal temporal signature of each ticket code,01_corpus,/content/drive/MyDrive/CALM_Net/figures/01_corpus/F05_fig_card_signature_heatmap.png,/content/drive/MyDrive/CALM_Net/figures/01_corpus/F05_fig_card_signature_heatmap_data.csv,2026-08-15T08:50:20
F06,Spatial demand concentration across the network,01_corpus,/content/drive/MyDrive/CALM_Net/figures/01_corpus/F06_fig_demand_concentration.png,/content/drive/MyDrive/CALM_Net/figures/01_corpus/F06_fig_demand_concentration_data.csv,2026-08-15T08:50:21
F07,Entry-to-exit propagation: empirical basis for the BFC delay kernel,01_corpus,/content/drive/MyDrive/CALM_Net/figures/01_corpus/F07_fig_delay_evidence.png,/content/drive/MyDrive/CALM_Net/figures/01_corpus/F07_fig_delay_evidence_data.csv,2026-08-15T08:50:23
F08,Passenger personas in behavioural feature space,02_persona,/content/drive/MyDrive/CALM_Net/figures/02_persona/F08_fig_persona_space.png,/content/drive/MyDrive/CALM_Net/figures/02_persona/F08_fig_persona_space_data.csv,2026-08-15T08:50:24
F09,"Diurnal persona profiles, weekday versus weekend",02_persona,/content/drive/MyDrive/CALM_Net/figures/02_persona/F09_fig_persona_profiles.png,/content/drive/MyDrive/CALM_Net/figures/02_persona/F09_fig_persona_profiles_data.csv,2026-08-15T08:50:26
F10,Soft-assignment prior matrix P0 inherited from Paper 3,02_persona,/content/drive/MyDrive/CALM_Net/figures/02_persona/F10_fig_prior_matrix.png,/content/drive/MyDrive/CALM_Net/figures/02_persona/F10_fig_prior_matrix_data.csv,2026-08-15T08:50:29
F11,The PMC conditioning signal: persona mix trajectory,02_persona,/content/drive/MyDrive/CALM_Net/figures/02_persona/F11_fig_pi_trajectory.png,/content/drive/MyDrive/CALM_Net/figures/02_persona/F11_fig_pi_trajectory_data.csv,2026-08-15T08:50:31
F12,Exogenous context vector z_t and its regime partition,02_persona,/content/drive/MyDrive/CALM_Net/figures/02_persona/F12_fig_context_vector.png,/content/drive/MyDrive/CALM_Net/figures/02_persona/F12_fig_context_vector_data.csv,2026-08-15T08:50:32
F13,Inferred metro topology coloured by line and sized by ridership,03_graph,/content/drive/MyDrive/CALM_Net/figures/03_graph/F13_fig_network_graph.png,/content/drive/MyDrive/CALM_Net/figures/03_graph/F13_fig_network_graph_data.csv,2026-08-15T08:50:33
F14,Correlation topology and the CDG sparsity mask M,03_graph,/content/drive/MyDrive/CALM_Net/figures/03_graph/F14_fig_mask_panel.png,/content/drive/MyDrive/CALM_Net/figures/03_graph/F14_fig_mask_panel_data.csv,2026-08-15T08:50:35
F15,Empirical delay-lagged adjacency A(delta) supporting the BFC kernel,03_graph,/content/drive/MyDrive/CALM_Net/figures/03_graph/F15_fig_delta_adjacency.png,/content/drive/MyDrive/CALM_Net/figures/03_graph/F15_fig_delta_adjacency_data.csv,2026-08-15T08:50:37
F16,Spatio-temporal flow heatmap by direction,03_graph,/content/drive/MyDrive/CALM_Net/figures/03_graph/F16_fig_flow_heatmap.png,/content/drive/MyDrive/CALM_Net/figures/03_graph/F16_fig_flow_heatmap_data.csv,2026-08-15T08:50:40
F17,Station-level robust z-score surge scan,04_event,/content/drive/MyDrive/CALM_Net/figures/04_event/F17_fig_event_scan.png,/content/drive/MyDrive/CALM_Net/figures/04_event/F17_fig_event_scan_data.csv,2026-08-15T08:50:44
F18,Anatomy of the largest detected surge,04_event,/content/drive/MyDrive/CALM_Net/figures/04_event/F18_fig_event_anatomy.png,/content/drive/MyDrive/CALM_Net/figures/04_event/F18_fig_event_anatomy_data.csv,2026-08-15T08:50:46
F19,Event days versus normal days: demand and mix,04_event,/content/drive/MyDrive/CALM_Net/figures/04_event/F19_fig_event_vs_normal.png,/content/drive/MyDrive/CALM_Net/figures/04_event/F19_fig_event_vs_normal_data.csv,2026-08-15T08:50:47
F20,Training convergence and loss curves,05_training,/content/drive/MyDrive/CRISP_Net/figures/05_training/F20_fig_training_curves.png,/content/drive/MyDrive/CRISP_Net/figures/05_training/F20_fig_training_curves_data.csv,2026-08-17T11:12:15
F21,Benchmark comparison across all six accuracy metrics,06_results,/content/drive/MyDrive/CRISP_Net/figures/06_results/F21_fig_metric_comparison.png,/content/drive/MyDrive/CRISP_Net/figures/06_results/F21_fig_metric_comparison_data.csv,2026-08-17T11:12:24
F22,Accuracy decomposed by flow direction,06_results,/content/drive/MyDrive/CRISP_Net/figures/06_results/F22_fig_channel_breakdown.png,/content/drive/MyDrive/CRISP_Net/figures/06_results/F22_fig_channel_breakdown_data.csv,2026-08-17T11:12:27
F23,Error growth over the forecast horizon,06_results,/content/drive/MyDrive/CRISP_Net/figures/06_results/F23_fig_horizon_degradation.png,/content/drive/MyDrive/CRISP_Net/figures/06_results/F23_fig_horizon_degradation_data.csv,2026-08-17T11:12:29
F24,Observed versus predicted flow at representative stations,06_results,/content/drive/MyDrive/CRISP_Net/figures/06_results/F24_fig_prediction_traces.png,/content/drive/MyDrive/CRISP_Net/figures/06_results/F24_fig_prediction_traces_data.csv,2026-08-17T11:12:32
F25,Event-window behaviour and peak forecasting resilience,06_results,/content/drive/MyDrive/CRISP_Net/figures/06_results/F25_fig_event_zoom.png,/content/drive/MyDrive/CRISP_Net/figures/06_results/F25_fig_event_zoom_data.csv,2026-08-17T11:12:34
F26,Ablation of the CRISP-Net components,06_results,/content/drive/MyDrive/CRISP_Net/figures/06_results/F26_fig_ablation.png,/content/drive/MyDrive/CRISP_Net/figures/06_results/F26_fig_ablation_data.csv,2026-08-17T11:12:36
F27,Conditional coverage under three calibration regimes,06_results,/content/drive/MyDrive/CRISP_Net/figures/06_results/F27_fig_decisive_coverage.png,/content/drive/MyDrive/CRISP_Net/figures/06_results/F27_fig_decisive_coverage_data.csv,2026-08-17T11:12:38
F28,Residual diagnostics and per-station error,06_results,/content/drive/MyDrive/CRISP_Net/figures/06_results/F28_fig_residuals.png,/content/drive/MyDrive/CRISP_Net/figures/06_results/F28_fig_residuals_data.csv,2026-08-17T11:12:44
F29,Interval quality across uncertainty methods,07_uncertainty,/content/drive/MyDrive/CRISP_Net/figures/07_uncertainty/F29_fig_calibration.png,/content/drive/MyDrive/CRISP_Net/figures/07_uncertainty/F29_fig_calibration_data.csv,2026-08-17T11:30:26
F30,Conditional coverage and the per-direction corrections,07_uncertainty,/content/drive/MyDrive/CRISP_Net/figures/07_uncertainty/F30_fig_conditional_coverage.png,/content/drive/MyDrive/CRISP_Net/figures/07_uncertainty/F30_fig_conditional_coverage_data.csv,2026-08-17T11:30:31
F31,Peak containment on event days,07_uncertainty,/content/drive/MyDrive/CRISP_Net/figures/07_uncertainty/F31_fig_peak_containment.png,/content/drive/MyDrive/CRISP_Net/figures/07_uncertainty/F31_fig_peak_containment_data.csv,2026-08-17T11:12:51
F32,Prediction intervals through an event day,07_uncertainty,/content/drive/MyDrive/CRISP_Net/figures/07_uncertainty/F32_fig_interval_fan.png,/content/drive/MyDrive/CRISP_Net/figures/07_uncertainty/F32_fig_interval_fan_data.csv,2026-08-17T11:12:53
F33,Conformal transfer across architectures,07_uncertainty,/content/drive/MyDrive/CRISP_Net/figures/07_uncertainty/F33_fig_conformal_transfer.png,/content/drive/MyDrive/CRISP_Net/figures/07_uncertainty/F33_fig_conformal_transfer_data.csv,2026-08-17T11:12:55
F34,Learned persona weights and their deviation from initialisation,07_uncertainty,/content/drive/MyDrive/CRISP_Net/figures/07_uncertainty/F34_fig_persona_gates.png,/content/drive/MyDrive/CRISP_Net/figures/07_uncertainty/F34_fig_persona_gates_data.csv,2026-08-17T11:30:33
