Model,RMSE,MAE,WMAPE,R2,EPE,NDE,Params,Epochs
LSTM,39.373219018255014,17.11208573581865,24.487977776524883,0.9108578965908076,19.108179722104754,26.381685304195184,201228,80
TCN,39.31175379891916,16.72856439887402,23.939145674996496,0.9111359974093075,18.897416444068117,26.34050106490502,60844,49
ConvLSTM,38.918158832878895,16.715370148764585,23.920264253500257,0.9129065279102373,19.211612786498556,26.07677615771429,51724,80
SVR-LSTM,40.76445245067815,17.68789056147283,25.31197410239186,0.9044470149792945,19.718381423916444,27.31386924835899,69644,80
STGCN,36.745046208860145,16.170489195604954,23.14052104289354,0.9223612332999508,18.19964401790598,24.62070081495769,38796,80
DCRNN,36.96983353967563,15.993987608443788,22.887941257433663,0.9214084195318363,18.20467583172796,24.771317624296916,64140,80
Graph WaveNet,34.57131737867421,15.163684296953386,21.699748926384707,0.9312752940218041,17.24053047998512,23.16421258858144,65068,80
AGCRN,33.46284744937095,14.289915695857996,20.449356284845884,0.9356117206852046,16.28201954526011,22.421491887221364,258050,80
TGALSTM,35.53154325775144,15.618294351658488,22.350311405352482,0.92740458808156,17.332465019247387,23.807603644593765,210527,80
TDAG-Net,32.283557921156884,14.09052021051772,20.164014550989823,0.9400700637865007,15.962280834914305,21.631319125338432,253825,80
TDAG-Net (Input-Splitter),31.189275302311835,13.63596228037255,19.51352666404343,0.9440639751060014,15.31453772199437,20.898104508803375,254209,80
CALM-Net,33.53648427609566,14.298858219789588,20.462153341305488,0.9353280290255118,16.658019236745695,22.47083160690622,296187,80
CALM-Net w/o CDG,34.90343222100702,14.790463146339716,21.165656742471317,0.9299485219926205,16.96103026280868,23.38674326993656,296187,80
CALM-Net w/o BFC,33.06470849837076,14.377644059018786,20.57489856184345,0.937134781584817,16.26855790900568,22.154722322158392,296187,78
CALM-Net w/o PMC,33.898175343660995,14.336750172808404,20.516378017230974,0.933925531882074,16.758158532888068,22.713179582504125,296187,80
CALM-Net w/o ECQ,33.763464875662,14.96283960483699,21.41233332825078,0.9344496448418708,16.625107516404498,22.622917997026885,294639,78
CALM-Net delta=0,33.14042148109969,14.314093311719702,20.483955276988116,0.9368465490305388,16.434974153337933,22.20545315224039,285336,80
CALM-Net delta<=1,33.75441265265144,14.475520073891008,20.714962474217902,0.9344847891548905,16.599354280977693,22.61685263319018,288953,80
CALM-Net delta<=2,33.276530422809266,14.20749812883316,20.331413938082452,0.9363267366369262,16.40880941735305,22.296651772947634,292570,80
