Model,RMSE,MAE,WMAPE,R2,EPE,NDE,Params,Epochs
LSTM,47.56039943161826,18.392511244514036,25.0613064223713,0.8867991959217687,19.108179722104754,29.8607358216112,201228,80
TCN,44.22220543252299,17.70683124999712,24.12701114198082,0.9021323138638231,18.897416444068117,27.764854998078764,60844,49
ConvLSTM,39.807569494282404,16.585143775822875,22.598619878454958,0.9206969576171471,19.211612786498556,24.993131482805772,51724,80
SVR-LSTM,48.86514519513658,18.897024300235312,25.74874687655556,0.8805030248313155,19.718381423916444,30.679918776851185,69644,80
STGCN,42.12663337988295,17.263048247413796,23.522320370561665,0.9111879220755026,18.19964401790598,26.44915277087175,38796,80
DCRNN,41.519703642833825,16.70448675663232,22.76123448674108,0.9137285663911792,18.20467583172796,26.068092713410252,64140,80
Graph WaveNet,36.73050914609761,15.608999354423414,21.268542972046816,0.9324831111635066,17.24053047998512,23.06120308728399,65068,80
AGCRN,30.824929326308908,13.449090766375813,18.325490212706097,0.9524486661085463,16.28201954526011,19.35339236702931,258050,80
TGALSTM,35.38722677250504,15.325068297385675,20.881663598770754,0.937331170481477,17.332465019247387,22.21782497080399,210527,80
TDAG-Net,32.20885736063537,14.070183969866054,19.17178068835628,0.9480830511420814,15.962280834914305,20.222289809502662,253825,80
TDAG-Net (Input-Splitter),30.62737627367144,13.560563451592298,18.477380897169756,0.9530562139070832,15.31453772199437,19.229358936148607,254209,80
CALM-Net,33.14293839734187,14.343058952175202,19.543595252215166,0.9450281257654095,16.658019236745695,20.80875139112106,296187,80
CALM-Net w/o CDG,34.14092450737445,14.66021199004395,19.975742301584802,0.9416677028384494,16.96103026280868,21.435335691115583,296187,80
CALM-Net w/o BFC,33.60714842247099,14.559940466370094,19.8391141192327,0.9434774361618282,16.26855790900568,21.100205060387534,296187,78
CALM-Net w/o PMC,33.220362472594026,14.341989110083082,19.542137504540705,0.9447709899740709,16.758158532888068,20.857361997528205,296187,80
CALM-Net w/o ECQ,33.756188569092444,14.973819690079631,20.40305853711809,0.942974994796701,16.625107516404498,21.193779725408508,294639,78
CALM-Net delta=0,33.540864006317754,14.449473857646318,19.688594296579744,0.9437001786785933,16.434974153337933,21.058588474667154,285336,80
CALM-Net delta<=1,34.09484252834665,14.646451922479423,19.95699307995636,0.9418250655117242,16.599354280977693,21.406403179649512,288953,80
CALM-Net delta<=2,32.97295488258421,14.29194036641207,19.47394198275909,0.9455905592905866,16.40880941735305,20.702027459260368,292570,80
