model,params,n_quant,role,ok
LSTM,201228.0,1.0,BASELINE,True
TCN,60844.0,1.0,BASELINE,True
ConvLSTM,51724.0,1.0,BASELINE,True
SVR-LSTM,69644.0,1.0,BASELINE,True
STGCN,38796.0,1.0,BASELINE,True
DCRNN,64140.0,1.0,BASELINE,True
Graph WaveNet,65068.0,1.0,BASELINE,True
AGCRN,258050.0,1.0,BASELINE,True
TGALSTM,210527.0,1.0,PREDECESSOR,True
TDAG-Net,253825.0,1.0,PREDECESSOR,True
TDAG-Net (Input-Splitter),,,PREDECESSOR,False
CALM-Net,296187.0,3.0,PROPOSED,True
CALM-Net w/o CDG,296187.0,3.0,ABLATION,True
CALM-Net w/o BFC,296187.0,3.0,ABLATION,True
CALM-Net w/o PMC,296187.0,3.0,ABLATION,True
CALM-Net w/o ECQ,294639.0,1.0,ABLATION,True
CALM-Net delta=0,285336.0,3.0,KERNEL,True
CALM-Net delta<=1,288953.0,3.0,KERNEL,True
CALM-Net delta<=2,292570.0,3.0,KERNEL,True
MC-Dropout,294639.0,1.0,UNCERTAINTY,True
Quantile Reg.,296187.0,3.0,UNCERTAINTY,True
