model,params,n_quant,role,ok
Graph WaveNet,65068,1,BASELINE,True
AGCRN,258050,1,BASELINE,True
TGALSTM,210527,1,PREDECESSOR,True
TDAG-Net,253825,1,PREDECESSOR,True
TDAG-Net (Input-Splitter),254209,1,PREDECESSOR,True
CALM-Net,296187,3,PROPOSED,True
Encoder control (no modules),294639,1,CONTROL,True
CALM-Net w/o CDG,296187,3,ABLATION,True
CALM-Net w/o BFC,296187,3,ABLATION,True
CALM-Net w/o PMC,296187,3,ABLATION,True
CALM-Net delta=0,285336,3,KERNEL,True
CALM-Net delta<=1,288953,3,KERNEL,True
CALM-Net delta<=2,292570,3,KERNEL,True
MC-Dropout,294639,1,UNCERTAINTY,True
Quantile Reg.,296187,3,UNCERTAINTY,True
