Model,RMSE,MAE,WMAPE,R2,EPE,NDE,Params,Epochs
LSTM,49.65225299899967,18.758347104141304,25.215176105714026,0.8810044595424061,22.267419383497025,30.6446919095346,201228,80
TCN,45.5280182279514,17.98633606460372,24.177430391263627,0.8999515742342796,20.879092589935656,28.099270578423784,60844,49
ConvLSTM,40.05805987652126,16.547936240696682,22.243917557276422,0.9225480084655779,18.66998699457223,24.72328704670088,51724,80
SVR-LSTM,50.94358303522608,19.24249108273889,25.865967756656662,0.8747344236966952,22.804686462807997,31.441683158138833,69644,80
STGCN,43.54223289360258,17.575207976502043,23.624787501890896,0.9084888191831634,20.121535814648958,26.87367101155584,38796,80
DCRNN,42.73077668278129,16.907486513257616,22.72722898078025,0.911867855065361,19.45126630356016,26.372851329129794,64140,80
Graph WaveNet,37.324485928121916,15.736232227986285,21.152816112539384,0.9327580287968905,17.232301752002048,23.0361625679322,65068,80
AGCRN,30.028705535365216,13.208855072238046,17.755487994344946,0.9564762818733201,14.041566833536757,18.533306627434257,258050,80
TGALSTM,35.34588526321671,15.241289424736282,20.487508562949937,0.9396981698263998,16.460394439003686,21.814997280845592,210527,80
TDAG-Net,32.18748250086052,14.064373615394151,18.905485411901136,0.949993462213244,14.987699206907724,19.86567426461552,253825,80
TDAG-Net (Input-Splitter),30.464930210031593,13.539020929083648,18.199300563663375,0.9552025656485705,14.37826994592242,18.802538534368217,254209,80
CALM-Net,33.029635470693705,14.355687732856802,19.297073046628277,0.9473424889113802,15.748236040894476,20.38543956714384,296187,80
CALM-Net w/o CDG,33.91991697755867,14.622997373959446,19.65639360071219,0.9444655688351914,15.891228220850389,20.934909144912698,296187,80
CALM-Net w/o BFC,33.76053048340301,14.612025154184748,19.64164462243848,0.944986244770621,15.907844647985861,20.836537979196628,296187,78
CALM-Net w/o PMC,33.02414649494178,14.343485949304405,19.28067127522649,0.9473599890612264,15.679100860023144,20.38205184633246,296187,80
CALM-Net w/o ECQ,33.75410933625928,14.976956857291814,20.132189823959532,0.945007169668337,15.87826522637987,20.832574934943043,294639,78
CALM-Net delta=0,33.654401012822014,14.488154013625344,19.475135675446477,0.9453315831621706,15.89392374319494,20.771036320519787,285336,80
CALM-Net delta<=1,34.191485649090765,14.69528959350467,19.753569595845754,0.9435727727891545,16.136133763956945,21.10251761721204,288953,80
CALM-Net delta<=2,32.885704295853245,14.316066720006036,19.243814046196505,0.947800413677144,15.480272544984347,20.29660721326753,292570,80
