Model,RMSE (entry),MAE (entry),WMAPE (entry),R2 (entry),RMSE (exit),MAE (exit),WMAPE (exit),R2 (exit)
LSTM,48.45131385439151,17.668966957330312,25.146736883935286,0.8805132730674673,46.65247446784999,19.11605553169783,24.982857658678505,0.8927744416160546
TCN,46.661190341874686,17.04705827263365,24.261627182973786,0.8891794821223064,41.64060785473565,18.366604227360586,24.00339642896396,0.9145753771771401
ConvLSTM,42.46790002531464,16.225357118611996,23.09216986454035,0.9082026549526141,36.95622607253247,16.94493043303376,22.14540464913019,0.932714082443721
SVR-LSTM,48.46914806129743,17.855950827715958,25.41285511266268,0.8804252943099584,49.2579589111809,19.938097772754688,26.05718830517043,0.8804631594076731
STGCN,43.952402103748376,16.704851543517965,23.774593470263483,0.9016727758827207,40.218065954948074,17.821244951309627,23.290663975146327,0.920312296205221
DCRNN,42.26660431273285,15.958514039119283,22.712394820220712,0.9090708221377682,40.75911850185635,17.45045947414535,22.80608279245725,0.9181538011057143
Graph WaveNet,38.62971932757904,15.08729162811634,21.47245811142577,0.9240458245311018,34.727588297139,16.130707080730488,21.08129254298807,0.9405847132821481
AGCRN,33.735441392386164,12.966584970082575,18.454236816068132,0.9420729593833106,27.60928340259407,13.931596562669046,18.207265264853657,0.962445739179202
TGALSTM,39.33426250250003,15.080248804459869,21.46243465992253,0.92124999832137,30.94070830931017,15.569887790311448,20.348355327904788,0.9528361280151273
TDAG-Net,35.24343240230021,13.52968663421138,19.255651489656536,0.9367784783110832,28.856913512363153,14.610681305520716,19.09476412363819,0.9589749891625596
TDAG-Net (Input-Splitter),33.11398144151437,13.013310170583079,18.520736817209844,0.9441875161887471,27.92018244763355,14.107816732601497,18.43756818559536,0.9615952048783494
CALM-Net,36.11160008390677,13.895679480634406,19.776537958719977,0.9336253853783323,29.88078095699608,14.790438423715988,19.329689497733284,0.9560121397502814
CALM-Net w/o CDG,37.4551234726911,14.307104282880683,20.36208386384263,0.9285946069072069,30.468330739998645,15.01331969720722,19.620974021425074,0.954265254005125
CALM-Net w/o BFC,36.17693961703286,14.001957828913765,19.927794886592125,0.9333849745489048,30.823852616529745,15.11792310382642,19.757680676929766,0.9531917087160783
CALM-Net w/o PMC,36.21340193321456,13.921648751923973,19.81349781233017,0.933250625861846,29.929491910898186,14.762329468242168,19.292953779301616,0.9558686068808983
CALM-Net w/o ECQ,36.456954396555794,14.6271658870112,20.817600304908886,0.9323497636619474,30.819652975848154,15.320473493148079,20.022394678034335,0.9532044627747762
CALM-Net delta=0,36.20328597275471,13.920427021156327,19.811759026908746,0.9332879125945202,30.648021165412047,14.978520694136295,19.575495050151776,0.9537242115955891
CALM-Net delta<=1,36.7779094791893,14.10272951898771,20.071214656506157,0.9311533794193605,31.181756660041952,15.19017432597112,19.852106119224253,0.9520983906283703
CALM-Net delta<=2,35.79152099672473,13.718701523289655,19.524660294431378,0.9347968079555953,29.88977303558662,14.865179209534476,19.42736856182184,0.955985661070718
