model,run,epochs,best_val,best_epoch,final_train
CRISP-Net,2023__v2__CRISP-Net,80,0.0827947896342356,78,0.1006867503235628
CRISP-Net,2023__v2__CRISP-Net_xconf_fold_0,80,0.0833858889783476,77,0.1014628130328524
CRISP-Net,2023__v2__CRISP-Net_xconf_fold_1,80,0.0835282154954396,78,0.1023007095023826
CRISP-Net,2023__v2__CRISP-Net_xconf_fold_2,80,0.0836844173270267,76,0.0998931300345358
CRISP-Net,2023__v2__CRISP-Net_xconf_fold_3,80,0.0842439248994156,74,0.0991782532943474
CRISP-Net,2023__v2__CRISP-Net_xconf_fold_4,80,0.0834569848746388,77,0.1029820887597052
CRISP-Net w/o gates,2023__v2__CRISP-Net_w_o_gates,80,0.0824089646748789,78,0.1001158425277406
CRISP-Net w/o gates,2023__v2__CRISP-Net_w_o_gates_xconf_fold_0,80,0.0836120661716539,79,0.1015630483954817
CRISP-Net w/o gates,2023__v2__CRISP-Net_w_o_gates_xconf_fold_1,80,0.0835349035787058,78,0.1023388604050154
CRISP-Net w/o gates,2023__v2__CRISP-Net_w_o_gates_xconf_fold_2,80,0.0837452432120239,76,0.0999665331545767
CRISP-Net w/o gates,2023__v2__CRISP-Net_w_o_gates_xconf_fold_3,80,0.0842597881680006,74,0.0992184038181881
CRISP-Net w/o gates,2023__v2__CRISP-Net_w_o_gates_xconf_fold_4,80,0.0835655641916034,77,0.1030489935815989
CRISP-Net w/o PRI,2023__v2__CRISP-Net_w_o_PRI,80,0.0860609057676661,72,0.1035710749226612
CRISP-Net w/o PRI,2023__v2__CRISP-Net_w_o_PRI_xconf_fold_0,80,0.0863988762209703,77,0.1043331347979032
CRISP-Net w/o PRI,2023__v2__CRISP-Net_w_o_PRI_xconf_fold_1,80,0.0874559593151558,75,0.106398426078178
CRISP-Net w/o PRI,2023__v2__CRISP-Net_w_o_PRI_xconf_fold_2,80,0.08688308474618,76,0.1035949617296784
CRISP-Net w/o PRI,2023__v2__CRISP-Net_w_o_PRI_xconf_fold_3,80,0.0873067445316157,77,0.10229736410982
CRISP-Net w/o PRI,2023__v2__CRISP-Net_w_o_PRI_xconf_fold_4,80,0.0873147221384467,78,0.1067497195614563
Graph WaveNet,2023__v2__Graph_WaveNet,80,0.0838582476416787,78,0.0978239725088025
AGCRN,2023__v2__AGCRN_seed_1337,80,0.0661157752581677,79,0.0825389644110595
AGCRN,2023__v2__AGCRN_seed_42,80,0.0666738153118026,78,0.0824742217476551
AGCRN,2023__v2__AGCRN_seed_7,80,0.0667697456716508,75,0.0829291884224493
TGALSTM,2023__v2__TGALSTM,80,0.0823002907109784,77,0.0993922391926849
TDAG-Net,2023__v2__TDAG-Net_seed_1337,80,0.0747159135701892,78,0.0909609139293104
TDAG-Net,2023__v2__TDAG-Net_seed_42,80,0.0747054295798579,76,0.0915315755775996
TDAG-Net,2023__v2__TDAG-Net_seed_7,80,0.0751549785772522,78,0.0917481429793022
TDAG-Net (Input-Splitter),2023__v2__TDAG-Net_Input-Splitter_seed_1337,80,0.072306275408674,77,0.088923868045702
TDAG-Net (Input-Splitter),2023__v2__TDAG-Net_Input-Splitter_seed_42,80,0.0719786633092623,74,0.0891732193283982
TDAG-Net (Input-Splitter),2023__v2__TDAG-Net_Input-Splitter_seed_7,80,0.0717722136158864,77,0.088892240691316
MC-Dropout,2023__v2__MC-Dropout,80,0.0719860090086093,74,0.0891475860561643
MC-Dropout,2023__v2__MC-Dropout_xconf_fold_0,80,0.0730807487699356,76,0.0896911322251781
MC-Dropout,2023__v2__MC-Dropout_xconf_fold_1,80,0.0726127038290212,77,0.0902757737171519
MC-Dropout,2023__v2__MC-Dropout_xconf_fold_2,80,0.0721469164549649,76,0.0877515593400368
MC-Dropout,2023__v2__MC-Dropout_xconf_fold_3,80,0.072849563640225,77,0.0865856070931141
MC-Dropout,2023__v2__MC-Dropout_xconf_fold_4,80,0.0729073742916295,78,0.0910975195385597
