epoch,train_loss,val_loss,lr,grad_norm_max,secs,improved,patience,timestamp
0,0.2720219961234501,0.1608085844379205,0.0003,0.3190900981426239,4.5,True,0,2026-08-16T17:47:14
1,0.15577301612267128,0.12489325008713283,0.0003,0.272410124540329,4.6,True,0,2026-08-16T17:47:18
2,0.13829389132641173,0.1154509332890694,0.0003,0.3318895697593689,4.5,True,0,2026-08-16T17:47:23
3,0.13133842465314235,0.11081564598358594,0.0003,0.22418582439422607,4.5,True,0,2026-08-16T17:47:28
4,0.12778546063454596,0.10596999472805432,0.0003,0.31032270193099976,4.6,True,0,2026-08-16T17:47:32
5,0.12449656508781098,0.10484912880993151,0.0003,0.3415600657463074,4.5,True,0,2026-08-16T17:47:37
6,0.12249457934400537,0.1032631985106311,0.0003,0.3784871995449066,4.5,True,0,2026-08-16T17:47:41
7,0.11982122800507389,0.0995826672066699,0.0003,0.26756396889686584,4.6,True,0,2026-08-16T17:47:46
8,0.11804525595117402,0.09840159261455902,0.0003,0.21846875548362732,4.5,True,0,2026-08-16T17:47:51
9,0.11720055399032739,0.09693235605136379,0.0003,0.22018902003765106,4.5,True,0,2026-08-16T17:47:55
10,0.11605724561345446,0.0971468431199645,0.0003,0.20901964604854584,4.5,False,1,2026-08-16T17:48:00
11,0.1151612748156537,0.09569111863499159,0.0003,0.26624780893325806,4.5,True,0,2026-08-16T17:48:04
12,0.1146337588082303,0.09633973306351966,0.0003,0.22814185917377472,4.4,False,1,2026-08-16T17:48:09
13,0.11343885565197075,0.09391482939923203,0.0003,0.1901390254497528,4.6,True,0,2026-08-16T17:48:14
14,0.11336543091705867,0.09420919930050661,0.0003,0.28357118368148804,4.5,False,1,2026-08-16T17:48:18
15,0.11230218762552345,0.09300344588828612,0.0003,0.23446311056613922,4.5,True,0,2026-08-16T17:48:23
16,0.1116414671907058,0.09348616462487441,0.0003,0.1803632229566574,4.5,False,1,2026-08-16T17:48:27
17,0.11063272145750759,0.09204296436119866,0.0003,0.18746735155582428,4.5,True,0,2026-08-16T17:48:32
18,0.11095902626658534,0.09217735969430797,0.0003,0.3185018301010132,4.4,False,1,2026-08-16T17:48:36
19,0.1103336594916962,0.09137464146856424,0.0003,0.289643257856369,4.5,True,0,2026-08-16T17:48:41
20,0.10971681306977848,0.09247116822299066,0.0003,0.2121104747056961,4.5,False,1,2026-08-16T17:48:45
