epoch,train_loss,val_loss,lr,grad_norm_max,secs,improved,patience,timestamp
0,0.20889544876722188,0.1428674324773825,0.0003,0.29483261704444885,5.6,True,0,2026-08-16T08:15:53
1,0.1314815110230184,0.10823756620124146,0.0003,0.30234262347221375,5.7,True,0,2026-08-16T08:15:59
2,0.1201313465669915,0.10227203561545728,0.0003,0.24435508251190186,5.6,True,0,2026-08-16T08:16:05
3,0.11644503877058134,0.09992233712922086,0.0003,0.239519864320755,5.7,True,0,2026-08-16T08:16:10
4,0.11348176837622465,0.09521004651765247,0.0003,0.1945686787366867,5.6,True,0,2026-08-16T08:16:16
5,0.11117880784875744,0.09595108097726172,0.0003,0.19340834021568298,5.6,False,1,2026-08-16T08:16:22
6,0.110422426036426,0.09484727361372539,0.0003,0.22241252660751343,5.6,True,0,2026-08-16T08:16:27
7,0.10877533414206662,0.09172615801895058,0.0003,0.18555769324302673,5.6,True,0,2026-08-16T08:16:33
8,0.107295374752401,0.09065377802311719,0.0003,0.16616666316986084,5.6,True,0,2026-08-16T08:16:39
9,0.1063455493240566,0.09042993499027503,0.0003,0.3724339008331299,5.6,True,0,2026-08-16T08:16:45
10,0.10549048688058014,0.08826789145286267,0.0003,0.19326362013816833,5.6,True,0,2026-08-16T08:16:50
11,0.10457817936664099,0.0868591241292901,0.0003,0.17233806848526,5.6,True,0,2026-08-16T08:16:56
12,0.10386200566868206,0.08886238928515833,0.0003,0.17755387723445892,5.6,False,1,2026-08-16T08:17:02
13,0.10331205501333698,0.08596777207740061,0.0003,0.2514282763004303,5.7,True,0,2026-08-16T08:17:07
14,0.10230706894135737,0.08482138280357633,0.0003,0.2199781835079193,5.6,True,0,2026-08-16T08:17:13
15,0.10227886246783392,0.0846484121303637,0.0003,0.21326908469200134,5.7,True,0,2026-08-16T08:17:19
16,0.10149643047825321,0.08563882382688942,0.0003,0.20668967068195343,5.6,False,1,2026-08-16T08:17:25
17,0.1011614570250878,0.0848856987943361,0.0003,0.17749667167663574,5.6,False,2,2026-08-16T08:17:30
18,0.10082925908513121,0.08436727511522533,0.0003,0.17676015198230743,5.6,True,0,2026-08-16T08:17:36
19,0.10029223489237356,0.0838191253388976,0.0003,0.1767217069864273,5.6,True,0,2026-08-16T08:17:42
20,0.0999854054916036,0.08287866491374078,0.0003,0.21191878616809845,5.7,True,0,2026-08-16T08:17:47
21,0.09944278060734928,0.08232234344705121,0.0003,0.1968313604593277,5.6,True,0,2026-08-16T08:17:53
